name,operator,city,state,lat,lon,coord_source,capacity_mw,mw_basis,status,notes,source_url,provenance
Meta Hyperion AI Data Center (Louisiana),Meta,Rayville,LA,32.417,-91.517,aidatacenterindex.com record (CC BY 4.0),5000.0,,under construction,under construction; future 5 GW expansion not yet delivered,https://datacenters.atmeta.com/richland-parish-data-center/,seed: aidatacenterindex.com (CC BY 4.0)
"Microsoft Project Fairwater (Mount Pleasant, Wisconsin)",Microsoft,Mount Pleasant,WI,42.723,-87.872,aidatacenterindex.com record (CC BY 4.0),3300.0,,operational,startup activity and equipment bring-up reported in May 2026; full campus buildout not complete,https://blogs.microsoft.com/on-the-issues/2025/09/18/made-in-wisconsin-the-worlds-most-powerful-ai-datacenter/,seed: aidatacenterindex.com (CC BY 4.0)
AWS US West (Oregon) Region,Amazon Web Services,Boardman / Umatilla / Hermiston area,OR,45.8398951,-119.7005857,"geocoded (Google Maps): Boardman, Oregon",2434.5,,operational,operational AWS US West (Oregon) region and market footprint,https://aws.amazon.com/about-aws/global-infrastructure/regions_az/,seed: aidatacenterindex.com (CC BY 4.0)
"AWS Project Rainier (New Carlisle, Indiana)",Amazon Web Services,New Carlisle,IN,41.7,-86.51,aidatacenterindex.com record (CC BY 4.0),2200.0,,operational,operational first Project Rainier cluster; full campus buildout ongoing,https://www.aboutamazon.com/news/aws/aws-project-rainier-ai-trainium-chips-compute-cluster,seed: aidatacenterindex.com (CC BY 4.0)
xAI Colossus / MACROHARDRR Greater Memphis AI Campus,xAI,Memphis,TN,35.1485812,-90.0518955,"geocoded (Google Maps): Memphis, Tennessee",2000.0,,operational,Colossus operational; Southaven MACROHARDRR expansion and power context still developing,https://x.ai/colossus,seed: aidatacenterindex.com (CC BY 4.0)
Vantage Frontier Shackelford County AI Campus,Vantage Data Centers,Albany (Shackelford County),TX,32.7234,-99.2973,"geocoded (Google Maps): Albany, Texas",1400.0,,under construction,construction began before August 2025 announcement; first building scheduled for H2 2026,https://vantage-dc.com/news/vantage-data-centers-unveils-plans-for-frontier-a-25b-mega-campus-in-texas-to-meet-unprecedented-ai-demand/,seed: aidatacenterindex.com (CC BY 4.0)
Meta-Oklo Southern Ohio Nuclear Power Campus,Meta,Pike County,OH,39.0713471,-83.03613759999999,"geocoded (Google Maps): Pike County, Ohio",1200.0,,announced,agreement announced January 2026; pre-construction and site characterization slated for 2026,https://about.fb.com/news/2026/01/meta-nuclear-energy-projects-power-american-ai-leadership/,seed: aidatacenterindex.com (CC BY 4.0)
Stargate Abilene AI Data Center Campus,OpenAI,Abilene,TX,32.449,-99.733,aidatacenterindex.com record (CC BY 4.0),1200.0,,operational,first phase live; full 1.2 GW campus under construction,https://www.crusoe.ai/resources/newsroom/crusoe-expands-ai-data-center-campus-in-abilene-to-1-2-gigawatts,seed: aidatacenterindex.com (CC BY 4.0)
AWS Project Spectrum / Comanche Peak Nuclear Data Center Campus,Amazon Web Services,Glen Rose,TX,32.2346721,-97.7554986,"geocoded (Google Maps): Glen Rose, Texas",1200.0,,planned,planned data-center campus / contracted power delivery beginning Q4 2027,https://www.sec.gov/Archives/edgar/data/1692819/000119312525221774/d43667d8k.htm,seed: aidatacenterindex.com (CC BY 4.0)
Meta El Paso AI Data Center,Meta,El Paso,TX,31.761,-106.485,aidatacenterindex.com record (CC BY 4.0),1000.0,,under construction,under construction; Meta says the site broke ground in 2025,https://about.fb.com/news/2025/10/metas-new-ai-optimized-data-center-el-paso/,seed: aidatacenterindex.com (CC BY 4.0)
Meta Lebanon AI Data Center,Meta,Lebanon,IN,40.052,-86.471,aidatacenterindex.com record (CC BY 4.0),1000.0,,under construction,breaking ground announced February 2026,https://about.fb.com/news/2026/02/metas-new-data-center-lebanon-indiana-marks-milestone-ai-investment/,seed: aidatacenterindex.com (CC BY 4.0)
"Meta Prometheus AI Supercluster (New Albany, Ohio)",Meta,New Albany,OH,40.081,-82.808,aidatacenterindex.com record (CC BY 4.0),1000.0,,operational,New Albany campus active and expanding; Prometheus described as a gigawatt-scale 2026 AI supercluster buildout,https://datacenters.atmeta.com/ohio-new-albany/,seed: aidatacenterindex.com (CC BY 4.0)
Vantage Port Washington Lighthouse Stargate Campus,Vantage Data Centers,Port Washington,WI,43.387,-87.876,aidatacenterindex.com record (CC BY 4.0),902.0,,under construction,groundbreaking reported December 2025; scheduled for completion in 2028,https://vantage-dc.com/data-center-locations/north-america/port-washington-wisconsin,seed: aidatacenterindex.com (CC BY 4.0)
Prologis / Atlas Project Sail Data Center (Coweta County),Prologis,Coweta County,GA,33.352,-84.799,aidatacenterindex.com record (CC BY 4.0),900.0,,planned,rezoning approved; construction start and tenant not confirmed,https://www.cowetaprojectsail.com/coweta-lp/,seed: aidatacenterindex.com (CC BY 4.0)
AWS Mattameade / Orrock Data Center Campus,Amazon Web Services,,VA,38.121743,-77.5008296,aidatacenterindex.com record (CC BY 4.0),770.0,,planned,planned permit-stage campus,https://www.nao.usace.army.mil/Media/Public-Notices/Article/4054364/nao-2024-01108-mattameade-data-center-caroline-county-virginia/,seed: aidatacenterindex.com (CC BY 4.0)
Meta-TerraPower Natrium Power Agreement,Meta,Kemmerer,WY,41.792447,-110.5376692,"geocoded (Google Maps): Kemmerer, Wyoming",690.0,,planned,commercial agreement with initial delivery as early as 2032; specific initial dual-unit site not yet identified,https://www.terrapower.com/terrapower-announces-deal-with-meta,seed: aidatacenterindex.com (CC BY 4.0)
Google Pine Island AI Data Center (Minnesota),Google,Pine Island,MN,44.202,-92.646,aidatacenterindex.com record (CC BY 4.0),600.0,,announced,announced,https://blog.google/outreach-initiatives/sustainability/2026-data-center-expansion-texas-minnesota/,seed: aidatacenterindex.com (CC BY 4.0)
"Google — Pryor Creek, Oklahoma AI Data Center",Google,Pryor,OK,36.308,-95.317,aidatacenterindex.com record (CC BY 4.0),600.0,,operational,operational,https://www.google.com/about/datacenters/locations/pryor-creek/,seed: aidatacenterindex.com (CC BY 4.0)
Amazon Web Services — Ohio Region AI Campus (us-east-2),Amazon Web Services,New Albany,OH,40.088,-82.793,aidatacenterindex.com record (CC BY 4.0),500.0,,operational,operational,https://aws.amazon.com/about-aws/global-infrastructure/regions_az/,seed: aidatacenterindex.com (CC BY 4.0)
"Google — Council Bluffs, Iowa AI Data Center Campus",Google,Council Bluffs,IA,41.263,-95.86,aidatacenterindex.com record (CC BY 4.0),500.0,,operational,operational,https://www.google.com/about/datacenters/locations/council-bluffs/,seed: aidatacenterindex.com (CC BY 4.0)
"Meta — Eagle Mountain, Utah AI Data Center Campus",Meta,Eagle Mountain,UT,40.313,-111.999,aidatacenterindex.com record (CC BY 4.0),500.0,,planned,under_construction,https://about.fb.com/news/2024/02/meta-data-center-utah/,seed: aidatacenterindex.com (CC BY 4.0)
"Microsoft Azure — Goodyear, Arizona AI Campus",Microsoft,Goodyear,AZ,33.435,-112.358,aidatacenterindex.com record (CC BY 4.0),500.0,,operational,operational,https://datacenters.microsoft.com/globe/detail/Goodyear,seed: aidatacenterindex.com (CC BY 4.0)
"Microsoft — Quincy, Washington AI Data Center Campus",Microsoft,Quincy,WA,47.234,-119.852,aidatacenterindex.com record (CC BY 4.0),500.0,,operational,operational,https://azure.microsoft.com/en-us/global-infrastructure/geographies/,seed: aidatacenterindex.com (CC BY 4.0)
Tesla Dojo Supercomputer — Buffalo New York,Tesla,Buffalo,NY,42.8864,-78.8784,aidatacenterindex.com record (CC BY 4.0),500.0,,operational,operational,https://www.tesla.com/AI,seed: aidatacenterindex.com (CC BY 4.0)
Applied Digital Polaris Forge 1 - Ellendale AI Factory,Applied Digital,Ellendale,ND,46.001,-98.525,aidatacenterindex.com record (CC BY 4.0),400.0,,under construction,staged campus under construction,https://ir.applieddigital.com/news-events/press-releases/detail/123/applied-digital-announces-250mw-ai-data-center-lease-with,seed: aidatacenterindex.com (CC BY 4.0)
Google — The Dalles Oregon Data Center,Google,The Dalles,OR,45.5946,-121.1787,aidatacenterindex.com record (CC BY 4.0),400.0,,operational,operational,https://www.google.com/about/datacenters/locations/the-dalles/,seed: aidatacenterindex.com (CC BY 4.0)
Google — Berkeley County Data Center Campus,Google,Moncks Corner,SC,33.196,-79.995,aidatacenterindex.com record (CC BY 4.0),350.0,,operational,operational,https://www.google.com/about/datacenters/locations/south-carolina/,seed: aidatacenterindex.com (CC BY 4.0)
